model,regime,seed,cp_method,cov_stressed,cov_all,stress_drop
lstm,L,44,pid_tan_cqr,0.8157894736842105,0.8354330708661417,-0.019643597181931205
lstm,L,44,saocp_cqr,0.9,0.9110236220472441,-0.011023622047244053
lstm,L,44,sfogd_cqr,0.8368421052631579,0.8078740157480315,0.028968089515126416
lstm,L,44,spci_cqr,0.8052631578947368,0.778740157480315,0.026523000414421793
lstm_const,G,42,aci_cqr,0.8342105263157895,0.8118110236220473,0.022399502693742246
lstm_const,G,42,agaci_cqr,0.8421052631578947,0.8070866141732284,0.035018648984666334
lstm_const,G,42,cqr_rolling,0.8473684210526315,0.831496062992126,0.015872358060505576
lstm_const,G,42,cqr_static,0.9052631578947369,0.9291338582677166,-0.02387070037297967
lstm_const,G,42,decay_ocp_cqr,0.8973684210526316,0.9188976377952756,-0.021529216742643964
lstm_const,G,42,dtaci_cqr,0.8578947368421053,0.8244094488188977,0.033485288023207604
lstm_const,G,42,mondrian_cqr,0.9,0.8590551181102363,0.04094488188976375
lstm_const,G,42,native,0.8789473684210526,0.9086614173228347,-0.029714048901782086
lstm_const,G,42,pid_cqr,0.8552631578947368,0.8173228346456692,0.0379403232490676
lstm_const,G,42,pid_local_cqr,0.8578947368421053,0.8181102362204724,0.03978450062163286
lstm_const,G,42,pid_tan_cqr,0.8315789473684211,0.8204724409448819,0.011106506423539164
lstm_const,G,42,saocp_cqr,0.9236842105263158,0.9307086614173228,-0.007024450891007006
lstm_const,G,42,sfogd_cqr,0.85,0.805511811023622,0.04448818897637796
lstm_const,G,42,spci_cqr,0.8157894736842105,0.7755905511811023,0.04019892250310819
lstm_const,G,43,aci_cqr,0.8368421052631579,0.8062992125984252,0.030542892664732757
lstm_const,G,43,agaci_cqr,0.8210526315789474,0.7976377952755905,0.023414836303356834
lstm_const,G,43,cqr_rolling,0.8447368421052631,0.8236220472440945,0.02111479486116863
lstm_const,G,43,cqr_static,0.8578947368421053,0.8700787401574803,-0.012184003315375058
lstm_const,G,43,decay_ocp_cqr,0.8868421052631579,0.9047244094488189,-0.017882304185661058
lstm_const,G,43,dtaci_cqr,0.8578947368421053,0.8173228346456692,0.04057190219643603
lstm_const,G,43,mondrian_cqr,0.9,0.8566929133858268,0.04330708661417326
lstm_const,G,43,native,0.8842105263157894,0.9133858267716536,-0.02917530045586414
lstm_const,G,43,pid_cqr,0.8368421052631579,0.8118110236220473,0.025031081641110675
lstm_const,G,43,pid_local_cqr,0.8578947368421053,0.8125984251968504,0.04529631164525483
lstm_const,G,43,pid_tan_cqr,0.8368421052631579,0.8188976377952756,0.017944467467882363
lstm_const,G,43,saocp_cqr,0.9289473684210526,0.9354330708661417,-0.006485702445089059
lstm_const,G,43,sfogd_cqr,0.8342105263157895,0.8031496062992126,0.0310609200165769
lstm_const,G,43,spci_cqr,0.8131578947368421,0.7708661417322835,0.04229175300455856
lstm_const,G,44,aci_cqr,0.8342105263157895,0.8086614173228347,0.025549108992954817
lstm_const,G,44,agaci_cqr,0.8289473684210527,0.7968503937007874,0.03209697472026529
lstm_const,G,44,cqr_rolling,0.8473684210526315,0.8251968503937008,0.022171570658930717
lstm_const,G,44,cqr_static,0.8763157894736842,0.8874015748031496,-0.01108578532946547
lstm_const,G,44,decay_ocp_cqr,0.9,0.9118110236220472,-0.011811023622047223
lstm_const,G,44,dtaci_cqr,0.8578947368421053,0.8181102362204724,0.03978450062163286
lstm_const,G,44,mondrian_cqr,0.8578947368421053,0.8464566929133859,0.011438043928719388
lstm_const,G,44,native,0.8921052631578947,0.9141732283464566,-0.02206796518856191
lstm_const,G,44,pid_cqr,0.8342105263157895,0.8110236220472441,0.023186904268545416
lstm_const,G,44,pid_local_cqr,0.8473684210526315,0.8133858267716535,0.03398259428097805
