model,regime,seed,cp_method,regime_label,coverage,winkler,skill,skill_iqr,n_countries,regime_kind
lgbm_const,G,42,pid_cqr,qe,0.8266666666666667,0.5315609523003512,0.036499831818027795,0.051762717080834186,10,calendar
lgbm_const,G,42,pid_local_cqr,hiking,0.801923076923077,0.3146885633958744,0.09187220009855862,0.29089783449139395,10,calendar
lgbm_const,G,42,pid_local_cqr,qe,0.8213333333333334,0.5400918759503531,0.02661670490486384,0.06884271378012441,10,calendar
lgbm_const,G,42,pid_tan_cqr,hiking,0.8173076923076923,0.3086631060014275,-0.0017443780874409343,0.36374145191672447,10,calendar
lgbm_const,G,42,pid_tan_cqr,qe,0.8213333333333334,0.611196675363094,-0.1370013592968906,0.09404111142312338,10,calendar
lgbm_const,G,42,saocp_cqr,hiking,0.9173076923076923,0.3578668813169525,0.06255830870971058,0.16892746526842212,10,calendar
lgbm_const,G,42,saocp_cqr,qe,0.8973333333333333,0.5538274244630662,-0.0007544973897263829,0.03813271167447105,10,calendar
lgbm_const,G,42,sfogd_cqr,hiking,0.7884615384615384,0.3112891121814954,0.0982494711169059,0.32360058822771237,10,calendar
lgbm_const,G,42,sfogd_cqr,qe,0.8146666666666667,0.5546616643059147,0.022767377822394186,0.0766111721965651,10,calendar
lgbm_const,G,42,spci_cqr,hiking,0.7442307692307693,0.2867389636926077,0.06373332935543063,0.38686341740445934,10,calendar
lgbm_const,G,42,spci_cqr,qe,0.7786666666666666,0.5438768254710454,0.0005274901231561158,0.09610240051573213,10,calendar
lgbm_const,L,42,aci_cqr,hiking,0.7865384615384615,0.27856127951479204,0.11240768119473799,0.5346672595059943,10,calendar
lgbm_const,L,42,aci_cqr,qe,0.8413333333333334,0.5562861378757933,0.009949486575533018,0.0747760191128822,10,calendar
lgbm_const,L,42,agaci_cqr,hiking,0.7923076923076923,0.2754306553736653,0.09945417976139309,0.5553322439510026,10,calendar
lgbm_const,L,42,agaci_cqr,qe,0.82,0.5380244273000618,0.031002741078514806,0.08876704350407208,10,calendar
lgbm_const,L,42,cqr_rolling,hiking,0.801923076923077,0.27724221709821306,0.10477342721371963,0.5326811402240206,10,calendar
lgbm_const,L,42,cqr_rolling,qe,0.8586666666666667,0.5671465989435125,0.007794433011086899,0.08060417137463141,10,calendar
lgbm_const,L,42,cqr_static,hiking,0.9423076923076923,0.6207378670546895,-0.24607600868306,0.32592641167049546,10,calendar
lgbm_const,L,42,cqr_static,qe,0.9053333333333333,0.7164591029746444,-0.07700849558136547,0.23002650331057056,10,calendar
lgbm_const,L,42,decay_ocp_cqr,hiking,0.9096153846153846,0.39323649186605314,-0.06916702034107602,0.1345037524324986,10,calendar
lgbm_const,L,42,decay_ocp_cqr,qe,0.8653333333333333,0.6197028121829894,-0.011336253705317767,0.12934598657275276,10,calendar
lgbm_const,L,42,dtaci_cqr,hiking,0.8038461538461539,0.2759319939197462,0.09888329321998579,0.5552852900157084,10,calendar
lgbm_const,L,42,dtaci_cqr,qe,0.8426666666666667,0.5378092493689031,0.032623610083183874,0.06933784646336788,10,calendar
lgbm_const,L,42,mondrian_cqr,hiking,0.8423076923076923,0.30572327765290913,0.018562118488968382,0.5236146179067023,10,calendar
lgbm_const,L,42,mondrian_cqr,qe,0.8786666666666667,0.5857235909526635,-0.03038338937762808,0.11423849031470495,10,calendar
lgbm_const,L,42,native,hiking,0.8692307692307693,0.3527194912606763,0.046471819115906254,0.22905713163830682,10,calendar
lgbm_const,L,42,native,qe,0.8146666666666667,0.5694937743774273,0.016986839354730332,0.07448685751905726,10,calendar
lgbm_const,L,42,pid_cqr,hiking,0.8076923076923077,0.27680639977441135,0.09829341508872219,0.4699173002699762,10,calendar
lgbm_const,L,42,pid_cqr,qe,0.8266666666666667,0.5326423869474745,0.02538870928196696,0.08533898108284232,10,calendar
lgbm_const,L,42,pid_local_cqr,hiking,0.8096153846153846,0.3196085877272239,0.06037384404297752,0.3661954750379698,10,calendar
lgbm_const,L,42,pid_local_cqr,qe,0.8293333333333334,0.5593618877279377,-0.004549997276112494,0.05316708225681949,10,calendar
lgbm_const,L,42,pid_tan_cqr,hiking,0.8115384615384615,0.3073194580232563,-0.019521148941276323,0.576432066261326,10,calendar
