model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lstm,G,44,sfogd_cqr,0.14753669846230172,0.046456692913385826,0.6767662717555035
lstm,G,44,spci_cqr,0.3310441862799152,0.03858267716535433,0.6609266281309112
lstm,GF,42,aci_cqr,0.3048081622537592,0.02125984251968504,0.7061473421191667
lstm,GF,42,agaci_cqr,0.1070678630221845,0.02125984251968504,0.6884805163428827
lstm,GF,42,cqr_rolling,0.30506150898203055,0.01889763779527559,
lstm,GF,42,cqr_static,,0.0,
lstm,GF,42,decay_ocp_cqr,,0.0,
lstm,GF,42,dtaci_cqr,0.08750463451890604,0.01968503937007874,0.6976844752194891
lstm,GF,42,mondrian_cqr,0.307389311747136,0.0007874015748031496,0.8332475823009293
lstm,GF,42,native,,0.0,
lstm,GF,42,pid_cqr,0.307389311747136,0.01889763779527559,0.6910457899317934
lstm,GF,42,pid_local_cqr,0.0873525312918136,0.01811023622047244,0.6876091868261396
lstm,GF,42,pid_tan_cqr,0.153160922810052,0.03228346456692913,
lstm,GF,42,saocp_cqr,,0.0,
lstm,GF,42,sfogd_cqr,0.29325400130460655,0.025984251968503937,0.6883685014273604
lstm,GF,42,spci_cqr,0.11910267340016316,0.023622047244094488,0.673859729220753
lstm,GF,43,aci_cqr,0.30738931174713596,0.01968503937007874,0.726223685385107
lstm,GF,43,agaci_cqr,0.0712799596149479,0.01968503937007874,0.7022924370569364
lstm,GF,43,cqr_rolling,0.307389311747136,0.015748031496062992,0.6976724272826218
lstm,GF,43,cqr_static,-0.28652838970517747,0.010236220472440945,
lstm,GF,43,decay_ocp_cqr,,0.0,
lstm,GF,43,dtaci_cqr,0.28074030444172443,0.01732283464566929,0.7240943922583467
lstm,GF,43,mondrian_cqr,0.3272015073221326,0.01732283464566929,0.8232394441617898
lstm,GF,43,native,,0.0,
lstm,GF,43,pid_cqr,-0.06367705729100968,0.02125984251968504,0.6958712076499448
lstm,GF,43,pid_local_cqr,0.2595799530061045,0.029921259842519688,0.6871517115341372
lstm,GF,43,pid_tan_cqr,-0.025523076153646747,0.050393700787401574,
lstm,GF,43,saocp_cqr,,0.0,
lstm,GF,43,sfogd_cqr,-0.2900846693037426,0.026771653543307083,0.6914233710525295
lstm,GF,43,spci_cqr,0.159986067347018,0.04803149606299213,0.6699898472589738
lstm,GF,44,aci_cqr,0.307389311747136,0.02125984251968504,0.6630149843293844
lstm,GF,44,agaci_cqr,0.30738931174713613,0.023622047244094488,0.652920035313008
lstm,GF,44,cqr_rolling,0.30738931174713574,0.01732283464566929,0.6736574736922569
lstm,GF,44,cqr_static,,0.0,
lstm,GF,44,decay_ocp_cqr,0.3073893117471358,0.0007874015748031496,
lstm,GF,44,dtaci_cqr,0.3073893117471358,0.01889763779527559,0.6676611179814447
lstm,GF,44,mondrian_cqr,0.22059339479258844,0.007086614173228346,
lstm,GF,44,native,-0.11216729357592686,0.0984251968503937,
lstm,GF,44,pid_cqr,0.3073893117471354,0.030708661417322834,0.6292759395782883
lstm,GF,44,pid_local_cqr,-0.21190317853512014,0.03779527559055118,0.6511125189532618
lstm,GF,44,pid_tan_cqr,-0.04641085533109526,0.05590551181102362,
lstm,GF,44,saocp_cqr,-0.07568316081831955,0.01732283464566929,
lstm,GF,44,sfogd_cqr,0.2863754589544587,0.04251968503937008,0.6770637294756093
lstm,GF,44,spci_cqr,0.2829326658697981,0.04409448818897638,0.6438455935629415
lstm,GI,42,aci_cqr,-0.12676913212563903,0.029921259842519688,0.7456160358631893
lstm,GI,42,agaci_cqr,-0.3141222385100959,0.03543307086614173,0.7180046579418962
lstm,GI,42,cqr_rolling,0.0307314288596088,0.025984251968503937,0.7531331206840968
lstm,GI,42,cqr_static,,0.0,
lstm,GI,42,decay_ocp_cqr,,0.0,
lstm,GI,42,dtaci_cqr,0.002014803933062597,0.029921259842519688,0.7586084491074876
lstm,GI,42,mondrian_cqr,-0.10383035937031782,0.007086614173228346,
lstm,GI,42,native,,0.0,
lstm,GI,42,pid_cqr,0.17696364742555623,0.02283464566929134,0.7471975902574564
lstm,GI,42,pid_local_cqr,0.2802302151804411,0.03228346456692913,0.7486963565946245
lstm,GI,42,pid_tan_cqr,-0.17180028975063266,0.046456692913385826,
lstm,GI,42,saocp_cqr,,0.0,
lstm,GI,42,sfogd_cqr,-0.10841297615995615,0.02283464566929134,0.7509052077390788
lstm,GI,42,spci_cqr,0.01468478545851014,0.029921259842519688,0.7273991540448594
lstm,GI,43,aci_cqr,0.41345282895865065,0.014173228346456693,0.7770801695202578
lstm,GI,43,agaci_cqr,0.31306834331220085,0.013385826771653541,0.759529727831112
lstm,GI,43,cqr_rolling,0.31302587215700023,0.012598425196850394,0.7540922156394432
